term	family	layer	function	attested	gloss	source	same_object_as
Cabeça	LatinAm/Caribbean	section	initiating	0	the head — the statement of the tune before (and after) solos	standard terminology (jazz head, naturalised in Brazilian chart usage)	collides with cabeça do compasso = the downbeat, which is not a span at all. Section-vs-form ambiguity in list (b)
Chula	LatinAm/Caribbean	section	initiating	0	the sung, essentially undanced first part of samba-chula, delivered by two singers in parallel thirds	Garland vol. 2, Brazil (Recôncavo samba de roda / samba de viola)	contrasts with the danced corrido/samba corrido that follows; that pair, not chula/segunda, is samba-chula's section pair
Coro	LatinAm/Caribbean	section	goal	0 (FP: 41 files, coronet/coronation/coronach)	the fixed refrain sung by the ensemble, repeating through the montuno	"Grove, ""Salsa""; Mauleón 1993"	the amendment already calls coro goal, beside chorus/sthayi/pallavi/estribillo. Marks the same span as MONTUNO. See §2 — its relation to PREGÓN is the object this table cannot hold
Cuerpo	LatinAm/Caribbean	section	initiating	0	the composed song-form body (verses, chorus) that precedes the montuno	Mauleón 1993; standard terminology (salsa arranging)	= son LARGO. One object, two era-names — the clearest same-object pair in the family
Derecho	LatinAm/Caribbean	section	medial	0	the basic straight groove, and by extension the verse-time span it runs under	standard terminology (bachata players'/arrangers' usage) — not found in Grove or Garland vol. 2	names a GROOVE first and a SPAN by extension; the same string is also a perform-layer object. Cognate with merengue derecho
Descarga	LatinAm/Caribbean	section	instrumental	0	an extended improvisatory span given over to soloing over the montuno's cycle	"Grove, ""Descarga""; Garland vol. 2, Cuba"	DOUBLE OBJECT — see §4. As a jam session/record genre (Cachao's Descargas) it is layer=process, not a section
Despedida	LatinAm/Caribbean	section	rear_framing	0	the formulaic farewell stanza that closes a corrido (Ya con ésta me despido…)	"Paredes, With His Pistol in His Hand (U Texas, 1958); Grove, ""Corrido""; Garland vol. 2, Mexico"	the strongest row in the family — a named, position-fixed, lyric-carrying span a printed text can witness. Its front-framing twin (the corrido's formal opening) is not in this term list
Exposición	LatinAm/Caribbean	section	initiating	0	the initial statement of the theme in an arranged tango	UNCITED as a tango section name — general music terminology (exposition), borrowed into Argentine pedagogy	a loan from sonata vocabulary, not an emic tango term. Nearest emic object: the tema
Jaleo	LatinAm/Caribbean	section	goal	0	the fast, climactic, call-and-response final section	Austerlitz 1997; Garland vol. 2, Dominican Republic	≈ son MONTUNO. Same object at function level: the responsorial goal. Carries §2's missing relation too
Largo	LatinAm/Caribbean	section	initiating	0 (FP: 1 file, tempo mark + Fife place name)	the composed, through-sung first part of a son, before the montuno; also called canto or tema	"Grove, ""Son""; Mauleón, Salsa Guidebook for Piano and Ensemble (Sher, 1993)"	= salsa CUERPO (same span, later name). Its function-slot twin in son form is MONTUNO
Majao	LatinAm/Caribbean	section	goal	0	the heavier chorus-time groove (block guitar chords, bell-pattern bongó), and the span it runs under	standard terminology (bachata players'/arrangers' usage) — not in Grove or Garland vol. 2	groove/span double, as DERECHO. Its function-slot twin is CORO / MAJAO ≈ chorus
Mambo	LatinAm/Caribbean	section	instrumental	0	the scored, contrasting horn section written over the montuno's harmony	"Grove, ""Mambo""; Mauleón 1993"	DOUBLE OBJECT — see §4. The genre mambo is a different row at layer=process and must be refused from a section table (PANTUN shape)
Mambo section	LatinAm/Caribbean	section	instrumental	0	the lead-guitar span between sung sections	standard terminology (bachata usage, borrowed from salsa)	"THIRD sense of ""mambo"" in this one family, after the salsa horn section and the genre. Nearest object: salsa MAMBO"
Merengue	LatinAm/Caribbean	section	medial	0	the main body section, between the paseo and the jaleo	"Austerlitz 1997; Grove, ""Merengue"""	the term names both the genre and its own middle section — a name containing its whole
Montuno	LatinAm/Caribbean	section	goal	0	the responsorial vamp the son arrives at and stays in; open-ended, cyclic	"Grove, ""Son""; Garland vol. 2, Cuba; Mauleón 1993"	≈ merengue JALEO (responsorial climax). Coextensive with the span salsa charts mark CORO. NOT the piano montuno (guajeo) — that is a different object at layer=perform
Moña	LatinAm/Caribbean	section	instrumental	0 (FP: mona 76 files = monarch)	a shorter contrapuntal horn riff-section layered over the montuno; commonly stacked several deep and traded	Mauleón 1993; standard terminology (salsa arranging)	"narrower sibling of MAMBO. When a chart says ""moñas"" plural it can mean the RIFFS (device), not the span — same polysemy as mambo one level down"
Paseo	LatinAm/Caribbean	section	front_framing	0	the introductory promenade section of merengue típico, largely vestigial in the modern form	Austerlitz, Merengue (Temple UP, 1997); Garland vol. 2, Dominican Republic	COLLIDES with vallenato paseo, which is an AIRE (genre), not a section. Same string, two traditions, two layers
Variación	LatinAm/Caribbean	section	instrumental	0	the virtuoso bandoneón variation, conventionally the climactic final statement	"Grove, ""Tango""; standard terminology (Argentine tango practice; cf. Peralta, La orquesta típica, 2008)"	instrumental vs goal compete — see list (b). Shape-cousin of salsa MAMBO: a scored instrumental climax
Verso	LatinAm/Caribbean	section	medial	0 (FP: 4 files — Latin reverso, Finnish versoo, bibliographic verso)	the sung narrative stanza of a vallenato song	"Garland vol. 2, Colombia; Grove, ""Vallenato"""	maps to the repo's verse; medial in the closed vocabulary
Jubilus	Liturgical/art-music	device	—	no 0	the melisma on the final -a of Alleluia: a span of music carrying zero words	Grove: Jubilus	—
Pedal point	Liturgical/art-music	device	—	no 0	a sustained note held under changing harmony	Grove: Pedal point	—
Stretto	Liturgical/art-music	device	—	no 0	overlapping subject entries: a canonic-imitation density device, not a span	Grove: Stretto	—
Aria da capo A-B-A′	Liturgical/art-music	form	—	"word 1 file — a poem TITLE, eng_american_henry_cuyler_bunner.txt:282 ""DA CAPO"""	ternary aria: A, contrasting B, then A by printed instruction, sung with the singer's own ornament	Grove: Da capo aria	—
Ballade	Liturgical/art-music	form	—	word 4 files, as poem TITLES (eng_oxford_andrew_lang.txt, ×5 titles)	three stanzas + envoi, one rhyme scheme throughout, every stanza ending on the refrain	Grove: Ballade	—
Responsory	Liturgical/art-music	form	—	no 0	respond–verse–partial respond (R ℣ R′); the R′ is a tail-kept truncation of R (the repetenda)	Grove: Responsory	—
Rondeau	Liturgical/art-music	form	—	"object 2 files: eng_hbv_john_payne.txt:11 RONDEAU REDOUBLE, eng_pah_william_ernest_henley.txt:354 ""I. RONDEAU"""	refrain-driven form whose refrain returns at two different lengths	Grove: Rondeau	—
Sequence	Liturgical/art-music	form	—	"substring 42 files → 11 non-comment, all ordinary English / ""consequence"""	paired versicles A BB CC DD E: each pair one melody, two texts. Progressive pairing, almost no return	Grove: Sequence (i)	—
Virelai	Liturgical/art-music	form	—	no 0	refrain opens, closes, and returns between stanzas	Grove: Virelai	—
Countersubject	Liturgical/art-music	out_of_scope	—	no 0	a line sounding simultaneously with the subject. Not a span; a lyric sheet with one column cannot hold it	Grove: Countersubject	—
Subject entry	Liturgical/art-music	out_of_scope	—	"substring (""subject"" 42 files, ordinary sense)"	one voice beginning the subject: a contrapuntal voice-event with no textual span and no lyric-sheet correlate	Grove: Fugue	—
Cadenza	Liturgical/art-music	perform	—	"word 1 file (Whitman, ""lisping cadenzas piano"")"	an improvised display span; the score often carries only a fermata and the word	Grove: Cadenza	—
Clos	Liturgical/art-music	phrase	—	substring 334 files, 0 real (all clos'd, closèd, clos't)	the closed, resolved ending of the second statement	Grove: Ouvert and clos	the seconda volta / second ending
Incipit	Liturgical/art-music	phrase	—	"apparatus 1 file (fin_kanteletar.txt:31, the repo's own note ""no. 91's incipit"")"	the opening words of a chant, used both as its sung head and as its citation key	Grove: Incipit	—
Intonation	Liturgical/art-music	phrase	—	no 0	the psalm tone's opening formula, sung by the cantor on the first verse only	Grove: Intonation	—
Mediant	Liturgical/art-music	phrase	—	"substring 0 real (3 files, all ""determination"")"	the mid-verse inflection (mediatio) of a psalm tone	Grove: Mediation	—
Ouvert	Liturgical/art-music	phrase	—	no 0	the open, unresolved ending of the punctum's first statement	Grove: Ouvert and clos	the prima volta / first ending
Termination	Liturgical/art-music	phrase	—	substring 0 real (same 3)	the verse-ending formula (differentia), chosen by which antiphon follows — a return-preparation below the section layer	Grove: Differentia	—
Cantus firmus statement	Liturgical/art-music	process	—	no 0	one complete presentation of a borrowed melody, running under other voices with its own simultaneous text	Grove: Cantus firmus	—
Prosula	Liturgical/art-music	process	—	no 0	troping applied to a melisma: one syllable per pre-existing note. The operation that turns a jubilus into lyric	Grove: Prosula	—
Psalm tone	Liturgical/art-music	process	—	no 0	a recitation formula applied to arbitrary prose text, verse after verse	Grove: Psalm (§ Latin monophonic psalmody)	—
Trope	Liturgical/art-music	process	—	"substring 0 real (4 files: heliotrope ×3; Burns ""Tropes, metaphors"" = the rhetorical sense)"	the logic that makes a new item by interpolating text into an authoritative one	Grove: Trope (i)	—
Abgesang	Liturgical/art-music	section	contrasting	no 0	the third, different and terminal unit of bar form	Grove: Bar form	repo bridge on both of that row's declared criteria — see §2.2 for the cost
Antiphon	Liturgical/art-music	section	goal	word 1 + apparatus 2	a short chant framing a psalm: stated before, returned after each verse; the psalm's communal returning unit	Grove: Antiphon	"repo burden — whose gloss already says ""a refrain sung by all, often printed before the first stanza"", which is the antiphon's defining printing position"
Bridge (sonata)	Liturgical/art-music	section	connective	word 63 files, all the ordinary English noun; 0 [BRIDGE] marks	the modulating span between first and second subject groups. SEE §2.1 — NOT the pop bridge	Grove: Bridge	Transition; repo prechorus at the function layer, NOT repo bridge
Cabaletta	Liturgical/art-music	section	goal	no 0	the fast closing movement, obligatorily repeated with the singer's ornament	Grove: Cabaletta	repo chorus at the function layer — the arrival the number points at
Cavatina	Liturgical/art-music	section	initiating	no 0	the slow lyric first movement of the double aria (solita forma), after the scena	Grove: Cavatina	—
Chorale	Liturgical/art-music	section	rear_framing	no 0 — and 35 eng_hymn_ files stage the object	as an item: a congregational hymn (a whole piece). As the last movement of a cantata: the four-part harmonised stanza that closes it	Grove: Chorale	the English hymn object, unnamed
Closing theme	Liturgical/art-music	section	rear_framing	"substring 1 file, false (""enclosing theme"")"	the last thematic unit of the exposition, confirming the new key	Grove: Sonata form	—
Codetta	Liturgical/art-music	section	rear_framing	no 0	a small coda closing the exposition. Nested inside a section, and recurring on the exposition repeat	Grove: Coda	repo coda, at a smaller scale and with the opposite recurrence — a diminutive relation the repo has no field for
Development	Liturgical/art-music	section	contrasting	word 3 files, ordinary sense	the unstable middle: fragmentation, modulation, no home key	Grove: Development	repo bridge at movement scale (departure between two statements of the same material)
Doxology	Liturgical/art-music	section	rear_framing	word 2 files; object staged as a whole song at eng_hymn_ken.txt:8	the Gloria Patri appended to the close of a psalm or hymn; fixed text, not part of the poem	Grove: Doxology	"— (repo has no rear_framing fixed-text row; coda is ""with its own material"", outro ""closes the song"")"
Episode	Liturgical/art-music	section	connective	word 3 files, ordinary English sense	a modulating span between subject entries, built from motivic fragments — the fugal twin of the sonata transition	Grove: Episode	Bridge (sonata) / Transition, at the function layer
Exposition (fugal)	Liturgical/art-music	section	initiating	"word 2 files, 0 musical (Herrick's Latin book title; Whitman ""Song of the Exposition"" = a world's fair)"	the opening span in which every voice enters with the subject	Grove: Fugue	—
Exposition (sonata)	Liturgical/art-music	section	initiating	(as above)	the first span, stating two key areas. A different object from the fugal exposition under the same word	Grove: Sonata form	—
Punctum (estampie)	Liturgical/art-music	section	medial	no 0	one unit of an estampie, stated twice with two different endings	Grove: Estampie	—
Recapitulation	Liturgical/art-music	section	goal	no 0	the return of the exposition, resolved into one key: the arrival the movement points at	Grove: Recapitulation	—
Recitativo accompagnato	Liturgical/art-music	section	medial	no 0	the same span with orchestral accompaniment. Differs from secco only in scoring, i.e. at layer=perform	Grove: Recitative	Recitativo secco
Recitativo secco	Liturgical/art-music	section	medial	"no 0 (""secco"" 0 files; ""recitativo"" 1 file = the Burns cantata, §0b)"	narrative delivery in free speech-rhythm over continuo only	Grove: Recitative	Recitativo accompagnato — see §2.4
Refrain (formes fixes)	Liturgical/art-music	section	goal	object — 2 files stage formes-fixes refrains as unmarked lines inside [VERSE n] (eng_hbv_john_payne.txt, eng_pah_william_ernest_henley.txt:354)	a returning text unit whose position is fixed by the form, not chosen	Grove: Refrain; Formes fixes	"repo refrain — ""a returning line or couplet INSIDE or after a stanza, not a standalone section"". Exact"
Ritornello	Liturgical/art-music	section	instrumental	no 0	the returning orchestral tutti between vocal episodes; returns partial, recombined and in new keys	Grove: Ritornello	"repo interlude — and see §2.3, this row loses ""returning"" to say ""instrumental"""
Scena	Liturgical/art-music	section	front_framing	word 1 file (Whitman)	the free recitative-and-arioso span preceding the formal number	Grove: Scena	—
Stollen	Liturgical/art-music	section	initiating	no 0	the first (and identically the second) unit of bar form: one tune, two texts	Grove: Bar form	"repo verse — ""returns with NEW WORDS on the same tune"" is the Stollen pair's definition"
Stretta	Liturgical/art-music	section	rear_framing	no 0	the accelerated closing section of an act finale	Grove: Stretta	repo coda/outro at scene scale
Tempo di mezzo	Liturgical/art-music	section	connective	no 0	the middle span (usually a plot interruption) lifting the cantabile into the cabaletta	Grove: Cabaletta	"repo prechorus — ""lifts from verse into chorus; a distinct function, not a short verse"". Strongest same-object claim in this family"
Transition	Liturgical/art-music	section	connective	word 1 file (Whitman)	Grove's own preferred name for the same span	Grove: Transition	Bridge (sonata)
Verse (liturgical)	Liturgical/art-music	section	medial	object (74,173 [VERSE] marks are the repo's own, not the versus)	the psalm verse, or the soloist's ℣ of a responsory: same tone, new words, recurs	Grove: Verse	"repo verse / MARK_FUNCTION[""VERSE""] — the repo row's ""returns with NEW WORDS on the same tune"" is the psalm verse verbatim"
Versicle	Liturgical/art-music	section	front_framing	"word 1 file (Burns, ""Versicles On Sign-Posts"" = generic ""short verses"")"	the short ℣/℟ exchange that opens an Office (Deus in adiutorium)	Grove: Versicle	—
Cran	N/E European	device	—	"0 (1 word-boundary hit, false: Burns, Scots ""coup the cran"")"	a burst of grace notes cranned on a low note, chiefly uilleann/Highland pipes. A sound device, not a span	"Ó Canainn; Grove, ""Uilleann pipes"""	"MARK_REFUSED[""RADIF""] in shape — a device refused by a section table"
Bavno	N/E European	form	REFUSE	0	"bavno is the adjective ""slow"" (bavna pesen, slow song) — a tempo/genre class, not a span and not a noun"	"Rice 2004; Garland 8, ""Bulgaria"""	"MARK_REFUSED[""CYWYDD""] precedent exactly: a class-name, not a section"
Cywydd	N/E European	form	REFUSE (already)	YES — 1 [CYWYDD] mark, 108 lines, cym_cynghanedd_llywelyn_goch_cywydd.txt	"7-syllable rhymed couplets; the file's own header says ""there are no stanzas"""	"Morris-Jones; Grove, ""Wales"""	"MARK_REFUSED[""CYWYDD""] — the precedent this family's other three metres should inherit"
Double	N/E European	form	—	0 as a label	double jig — a 6/8 tune type. A tune type is not a section	Breathnach	"MARK_REFUSED[""PANTUN""], ""a whole quatrain FORM, not a section of a song"""
Englyn	N/E European	form	REFUSE	"weak — 1 body line, cym_song_mynyddog.txt:2094 ""Nyddu can a phlethu englyn""; plus 1 editorial header note"	the 4-line 30-syllable strict measure. The one body hit is a poet naming the metre inside a poem, not a label on a span	"Morris-Jones; Grove, ""Wales"""	"MARK_REFUSED[""CYWYDD""]"
Gwawdodyn	N/E European	form	REFUSE	0	one of the 24 strict measures	Morris-Jones	"MARK_REFUSED[""CYWYDD""]"
Horo	N/E European	form	—	0 (30 files, every one a substring of thorough etc.)	the Bulgarian round dance — a whole dance/piece type	"Rice 2004; Garland 8, ""Bulgaria"""	"MARK_REFUSED[""PANTUN""], ""a whole … FORM, not a section of a song"""
Pravo cycle	N/E European	form	—	0	"pravo horo, the ""straight"" round dance in 2/4; a dance type, and the ""cycle"" is its repeated dance-phrase, not a section run"	"Rice 2004; Garland 8, ""Bulgaria""; ""pravo cycle"" as a NAME, UNCITED"	as Horo
Single	N/E European	form	—	0 as a label	single jig / slide — a 6/8 tune type distinguished by its rhythmic cell	Breathnach	as Double
Strathspey turn	N/E European	form	REFUSE	3 files / 13 lines, all false: a place name, a dance name, 2 [air: …] tune titles	"a strathspey is a Scots dance/tune type; a ""turn"" inside one is a bowing/ornament matter, not a span"	"UNCITED as a compound — I found no source printing ""strathspey turn"" as a section"	"MARK_REFUSED[""PANTUN""] class (a whole tune type)"
Toddaid	N/E European	form	REFUSE	0	one of the 24 strict measures — a metre, defined by syllable count and gwant	Morris-Jones	"MARK_REFUSED[""CYWYDD""] — same class, same reason"
Podgolosok	N/E European	perform	—	0 (also 0 for подголосок)	"the ""under-voice"": a subsidiary heterophonic line spun off the melody in podgolosochnaya polifoniya. A voice part, not a span — a lyric sheet cannot carry it"	"Garland 8, ""Russia"" (Zemtsovsky); Grove, ""Russian Federation, §II"""	"MARK_REFUSED[""RADIF""] — the identical wrong-layer refusal shape, and §3(b)'s parked answer, ""BOTH, AT DIFFERENT LAYERS"", applies verbatim"
Burden	N/E European	phrase	—	YES — 1,753 [BURDEN] + 19 [BURDEN-TAIL], 35 files, 34 eng + 1 san	as this corpus prints it: a one-line group repeated verbatim at stanza end. Mean 1.14 lines; 1,444/1,580 eng blocks are exactly one line; 0 of 1,772 stand before the first stanza	"Grove, ""Burden (i)"" — for the carol burden, which is the other object (below)"	"MARK_FUNCTION[""BURDEN""] → burden; and, on the evidence, refrain"
Chorus-line	N/E European	phrase	—	0 — no such term in corpus/ or in the repo	a single returning line inside a stanza	UNCITED — not a term of art; descriptive	"Burden; Refrain; MARK_FUNCTION[""REFRAIN""]"
Motive	N/E European	phrase	—	0 (4 hits, all false: English motive / locomotive)	the short melodic-rhythmic cell a joik is built from; below any span that could be called a section	"Garland 8, ""Sami music""; Grove, ""Sami music"""	Hook (a FRAGMENT, per MISSING.md D-2) in shape, not in sense
Nucleus	N/E European	phrase	—	0 (2 hits, both the English noun)	the identifying core motive that makes the joik of a person, animal or place	UNCITED — I could not confirm this as a term of art rather than an analyst's word	possibly Motive (same object under an analyst's name) — see list (b)
Refrain-couplet	N/E European	phrase	—	0 as a term; the object is attested at 78 two-line [BURDEN] + 18 two-line [REFRAIN] blocks	a two-line returning group; the same object as the burden with one more line	"UNCITED as a name; object per Grove, ""Refrain"""	Burden; Chorus-line
Return	N/E European	process	—	0 as a term (the English word is everywhere)	the joik's cyclic re-entry: it does not return to a place, it never leaves one	"Garland 8, ""Sami music"""	Return / compare_returns in grid.py — same string, different object; the repo's Return compares two instances of a marked block
Sean-nós variation cycle	N/E European	process	—	0 (sean-nos, sean-nós both 0 files)	whole-piece logic: every stanza is re-ornamented, no two statements alike; the variation is the form, not a span within it	"Ó Canainn, ch. on sean-nós; Grove, ""Ireland, §II""; name is descriptive, UNCITED"	VARIATION_KINDS / compare_returns, not SECTION_FUNCTIONS
Slått motive-cycle	N/E European	process	—	0 (2 substring hits, read, false)	a hardingfele/langeleik slått generated by recombining short motives; boundaries are the player's, and vary between playings of one tune	"Grove, ""Norway, §II""; Garland 8, ""Norway""; ""motive-cycle"" is descriptive, UNCITED"	"FormConvention.recurrence == ""open""; VARIATION_KINDS"
A-part	N/E European	section	initiating	0 (2 hits, both false)	the first eight-bar strain of a two-strain dance tune; traditionally called the tune	Breathnach, on the two-strain tune	—
B-part	N/E European	section	contrasting	0	the second strain, usually higher in tessitura	Breathnach	Turn
Crunluath	N/E European	section	medial — STRAINS	"YES — CRUNLUATH, 3 headings, 3 songs, 3 files; twice glossed ""(FINALE)"" by the 1855 editor"	"""crown movement"": the ùrlar under the crunluath fingering; third rung"	"Grove, ""Pibroch""; PS Coll."	as Siubhal
Crunluath a-mach	N/E European	section	medial — STRAINS	0	"""the crunluath out"": the crunluath opened further, the ladder's top rung"	"Grove, ""Pibroch""; PS Coll."	as Siubhal
Part	N/E European	section	REFUSE	[PART] = 61 blocks, 1 file — a different object	"a bare generic for ""a strain""; carries no function, so a function column cannot be filled without inventing one"	Breathnach	"MARK_REFUSED[""PART""] — STRING COLLISION. See list (c); this one is actionable today."
Penillion	N/E European	section	medial	"weak — plural 0 files; singular pennill 1 body line, cym_song_mynyddog.txt:545 ""Os digwydd i hogyn wneud pennill o gan"" (""if a lad happens to make a verse of song"")"	pennill = a stanza; penillion = stanzas. The one attested use is the ordinary word, and it attests the stanza sense	"Kinney; Grove, ""Wales, §II""; Morris-Jones"	"MARK_FUNCTION[""VERSE""] → verse. The canu penillion / cerdd dant sense is a different object at layer=perform — see list (b)"
Pripev	N/E European	section	goal	0 (also 0 for припев)	the returning strain sung by all after each zapev	"Garland 8, ""Russia""; Grove, ""Russian Federation, §II"""	"MARK_FUNCTION[""CHORUS""] → chorus"
Siubhal	N/E European	section	medial — STRAINS	YES — SIUBHAL, 6 headings, 3 songs, 3 files	"""travelling"": the ùrlar's notes re-cast in even pointed pairs. Same material, first rung of the ladder"	"Grove, ""Pibroch""; PS Coll."	VARIATION_KINDS — see §2
Stanza	N/E European	section	medial	editorial only — 830 # header lines, 50 title/note lines, 0 [STANZA] marks	the printed narrative unit of a ballad; the span the corpus actually marks [VERSE n]	"Grove, ""Stanza""; standard prosody"	"MARK_FUNCTION[""VERSE""] → verse — and simultaneously MARK_REFUSED[""QUATRAIN""], ""a printing/metrical unit"". The repo types the generic and refuses the specific."
Sèist	N/E European	section	goal	0 — 5 files / 19 lines, ALL FALSE POSITIVES (see §0)	Scottish Gaelic for the chorus of a song	"Dwelly, s.v. sèist; Grove, ""Scotland, §II"""	"MARK_FUNCTION[""CHORUS""] → chorus; Pripev"
Taorluath	N/E European	section	medial — STRAINS	0	the ùrlar under the taorluath fingering; second rung	"Grove, ""Pibroch""; PS Coll."	as Siubhal
Turn	N/E European	section	contrasting	0 as a label (474 files = the English verb/noun)	the players' name for the B-part	Breathnach — hedged: I can cite the two-strain structure, not this name for it	B-part (same object, two names). Also collides with the ornamental turn — see list (b)
Zapev	N/E European	section	initiating	0 (also 0 for запев)	the solo lead-in that states the tune before the ensemble enters	"Garland 8, ""Russia"" (Zemtsovsky); Grove, ""Russian Federation, §II"""	"SECTION_FUNCTIONS[""intro""] in position; not in sense — a zapev carries text and returns each strophe"
Ùrlar	N/E European	section	initiating	YES — URLAR, 5 headings, 3 songs, 3 files (0 hits for the accented spelling)	"""the ground"": the theme, stated plainly and slowly; the source of every later movement"	"Grove, ""Pibroch"" (R. D. Cannon); PS Coll."	"SECTION_FUNCTIONS[""verse""] only by the mis-staging above, which is the error"
Ùrlar return	N/E European	section	rear_framing	0 — and 0 in the three files that attest the ùrlar itself	the ground restated verbatim to close the piece	"practice per Grove, ""Pibroch""; the NAME is descriptive, UNCITED"	"near SECTION_FUNCTIONS[""reprise""] and wrong: reprise is ""later and CHANGED""; this returns unchanged. The correct repo object is returns_as=""verbatim"""
Qāfiya	Persian/CentralAsian	device	—	no in corpus (0 literal, 0 diacritic; قافیه 7f/11 occ body-lexical). Present in repo code outside corpus/: fas.py, hafez_rate.py, relations.py, canon_index.tsv	the rhyme proper, sitting immediately BEFORE the radif	"Elwell-Sutton 1976; Thiesen 1982; EI² ""Ḳāfiya""; repo's quality/phonology/fas.py"	"relations.py ""qafiya (before the radif)"" (R32, R61) with fas/ara/hin members; canon S3, I29"
Radīf — RHYME sense	Persian/CentralAsian	device	—	YES — 32 files, 78,387 occ; 54,193 as [RADIF], 7,984 TITLE fields, 242 headers, 0 body	the word or phrase repeated verbatim at the end of every rhyming line, immediately after the qāfiya	"Thiesen, A Manual of Classical Persian Prosody (Harrassowitz 1982); Elwell-Sutton, The Persian Metres (CUP 1976); EI² ""Radīf""; repo's own quality/phonology/fas.py"	"relations.py ""epistrophe / radif"" (R61); grid.py EPIPHORIC_RETURN + TAIL_PRESERVED; floor.py radif_min_pair_fraction; canon rows S72, I28 — four existing homes, none of them the section table"
Takhalluṣ	Persian/CentralAsian	device	—	no in corpus (0, any spelling) — but the PHENOMENON is measurable: see §4	the poet's pen-name signed into the closing bayt	"EI² ""Takhalluṣ""; RHYME_CANON.md C32; canon row S89"	"RHYME_CANON.md C32 ""takhalluṣ = name acrostic = shibbuṣ = honkadori = 次韻""; canon S89"
Mushkilot	Persian/CentralAsian	form	—	no (0 files)	the INSTRUMENTAL half of a maqom, itself a sequence of named pieces	Levin 1996; Levin et al. 2016	—
Nasr	Persian/CentralAsian	form	—	no (0 files)	the VOCAL half of a maqom (against mushkilot); the group of shuʿba, not one of them	Levin 1996; Levin et al. 2016	homonym clash with the shuʿba also called nasr — see (b)
Tasnif	Persian/CentralAsian	form	—	no (0 files; تصنیف 0 occ, even in script)	composed, metric, strophic song with a fixed text; circulates freestanding	"During, Mirabdolbaghi & Safvat, The Art of Persian Music (Mage 1991); Grove ""Iran"""	"MARK_REFUSED[""PANTUN""] — ""a whole quatrain FORM, not a section of a song"" is the identical argument"
Tekyeh	Persian/CentralAsian	perform	—	no (0 files, any script)	a leaning grace-note/accent ornament on a single tone	standard Persian performance terminology; Farhat 1990 glossary — weakest citation here, see (a)	—
Forud	Persian/CentralAsian	phrase	—	"no (0 files; فرود 24f/81 occ, 79 body = ""descent"")"	cadential descent returning to the mode's finalis at the close of a gusheh	Farhat 1990; During, La musique iranienne: tradition et évolution (1984)	"SECTION_FUNCTIONS[""turnaround""] — ""carries the end of one section into the next"""
Maqām	Persian/CentralAsian	process	—	"no (0 files; مقام 28f/260 occ, all body = ""station"")"	modal entity governing melodic behaviour across a whole piece; in Central Asia also the name of a whole suite-cycle	"Grove ""Mode, §V: Middle East""; Garland Encyclopedia of World Music vol. 6 (The Middle East, 2002)"	two senses, split in (b)
Radif — REPERTOIRE sense	Persian/CentralAsian	process	—	no — the 32 radif files are 100% the rhyme sense; the repertoire sense occurs 0 times	the canonical ordered corpus of gushehs grouped into the dastgāh/āvāz system, learned entire and drawn from at performance	"Nettl 1992 (the title work); Encyclopædia Iranica ""DASTGĀH"""	none — it is a REPERTOIRE, above the piece, and no layer in this scheme is above the piece; see (b)
Bayt	Persian/CentralAsian	section	medial (conditional — §3)	YES — 31 files, 71,296 occ; 70,866 as [BAYT n], 366 TITLE, 64 headers, 0 body	the couplet: two hemistichs (miṣrāʿ) on one metre, semantically self-standing in a ghazal	"Elwell-Sutton 1976; Thiesen 1982; EI² ""Bayt"""	"MARK_REFUSED[""BAYT""], and MARK_REFUSED[""SLOKA""] is the same argument in Sanskrit — ""a metrical stanza-unit … a position in a text, not a function in a form"""
Chahārmezrāb	Persian/CentralAsian	section	instrumental	no (0 files)	fast instrumental ostinato display piece over the current gusheh's material	Farhat 1990; During et al. 1991	"SECTION_FUNCTIONS[""solo""] — ""an instrumental span over section material"""
Darāmad	Persian/CentralAsian	section	initiating	no (0 files; درآمد 23f/106 occ, 104 body-lexical)	the opening gusheh; states the mode, and names the dastgāh	"Farhat, The Dastgāh Concept in Persian Music (CUP 1990); Nettl, The Radif of Persian Music (2nd ed. 1992); Encyclopædia Iranica ""DASTGĀH"""	forms a native front_framing/initiating pair with pīshdarāmad — see §5
Gusheh	Persian/CentralAsian	section	medial	"no (0 files; گوشه 27f/489 occ, all body = ""corner"")"	the named melodic-modal unit of the radif; the piece a performance is assembled from	"Nettl 1992; Farhat 1990; Grove Music Online ""Iran, §II: Classical traditions"""	a UNIT, not a function — structurally the same object as bayt; see §3, §4
Maqṭaʿ	Persian/CentralAsian	section	rear_framing (coerced — §4)	no — maqta/maqṭaʿ 0 occ; مقطع 1 file/2 occ, body-lexical	the closing bayt, conventionally carrying the takhalluṣ	"EI² ""G̲h̲azal""; Thiesen 1982; repo canon row S89"	"canon S89 ""maqṭaʿ with takhalluṣ"""
Maṭlaʿ	Persian/CentralAsian	section	front_framing (coerced — §4)	HEADER-ONLY — 31 files, 61 occ, 100% on # lines; 0 marks, 0 TITLE, 0 body. Literal matla = 0; مطلع 11f/18 occ all body-lexical	the opening bayt, in which BOTH hemistichs rhyme (muṣarraʿ)	"Thiesen 1982 (rhyme chapter); EI² ""G̲h̲azal""; repo canon row S88"	"canon S88 ""maṭlaʿ / muṣarraʿ opening"" (under R72), S126; fas.ghazal_rhyme_lines() — which already implements it as an index rule over bayts"
