# Characters data/qieyun_mc.tsv cannot read, and WHY. MISSING.md M-2.
# data/qieyun_mc.tsv itself is NOT modified: the CC0 original stays
# byte-identical and re-derivable, and this file sits beside it.
#
# THE MECHANISM, from the upstream source rather than from inference:
# nk2028/qieyun-data's 韻書/廣韻.csv prints 䰟 as the 字頭 of 小韻 483, whose
# 韻目原貌 is 魂. The rhyme group is NAMED 魂 and 魂 is never a headword in it,
# so 477 characters carry 魂 as their label and the character itself cannot be
# looked up. The extraction is faithful; the rime book is keyed on its own
# orthographic norm and a Song lyric is not.
#
# relation -- and this column is the whole point of the file. A refusal rate
# is uninterpretable until its causes are separated (doctrine 79, one layer
# down from the sonnet battery's):
#   異體  a variant of this character IS in the table. Read `target` instead.
#         An INGESTION defect, and it is now fixed.
#   簡化  a 1956 simplified form. `target` is what it simplifies. NOT mapped:
#         M-2 measured that resolving these silently returns a different
#         word's rhyme wherever the reform merged two Middle Chinese words.
#         A refusal, and its cause is the SCRIPT.
#   後起  no 廣韻 headword and no warranted 異體, but present in the
#         平水韻/詞林正韻 tables. A refusal, and it is CORRECT: the rime book
#         does not contain this graph.
#   混同  the character READS -- it is in the table -- but it doubles as the
#         simplification of `target`, so in a simplified text the reading
#         returned may be a different word's. Not a refusal: a hazard, and
#         the reason OpenCC is not the fix (M-2).
#
# WITNESSES for every 異體 row, and the standard is two:
#   PROPOSER  unicode-org/unihan-database, Unicode License v3 (redistribution
#             granted; this notice is the (b) route). kSemanticVariant,
#             kSpecializedSemanticVariant, kZVariant, read in both directions.
#   FILTER    hulbji/couyun (MIT): the pair must share a (聲, 平水韻部,
#             詞林韻部). This is not "these are the same character" -- it is
#             the predicate the module actually needs (doctrine 60):
#             substituting one for the other CANNOT change the verdict
#             ltc.rhymes gives at 平水韻 or 詞林正韻 granularity, because both
#             sit in the same cell of both standards. At RAW Qieyun
#             granularity it warrants nothing, so readings() marks every
#             substituted reading with `via` and rhyme_keys(standard='qieyun')
#             can be told apart from the two grouped standards.
#   Where Unihan proposes two targets that couyun places in different cells,
#   the row is REFUSED rather than resolved by a tie-break (doctrine 66).
#   The 19 pairs MISSING.md M-2 names are entered FIRST, with their named
#   target, so this file can be read against the register entry that motivated
#   it; 11 of the 19 are also proposed mechanically, and every one of the 19
#   is warranted by couyun.
char	relation	target	target_readings	witnesses
瀃	後起			no 廣韻 headword; in couyun 平水韻
瀊	後起			no 廣韻 headword; in couyun 平水韻
瀐	後起			no 廣韻 headword; in couyun 平水韻
瀒	異體	澀	侵入	Unihan+couyun
瀓	後起			no 廣韻 headword; in couyun 平水韻
瀕	異體	濱	眞平	Unihan+couyun
瀞	後起			no 廣韻 headword; in couyun 平水韻
瀟	異體	潚	東入|蕭平	couyun
瀠	後起			no 廣韻 headword; in couyun 平水韻
瀩	後起			no 廣韻 headword; in couyun 平水韻
瀪	後起			no 廣韻 headword; in couyun 平水韻
瀫	後起			no 廣韻 headword; in couyun 平水韻
瀬	後起			no 廣韻 headword; in couyun 平水韻
瀯	後起			no 廣韻 headword; in couyun 平水韻
瀻	後起			no 廣韻 headword; in couyun 平水韻
瀽	後起			no 廣韻 headword; in couyun 平水韻
灀	後起			no 廣韻 headword; in couyun 平水韻
灁	後起			no 廣韻 headword; in couyun 平水韻
灅	後起			no 廣韻 headword; in couyun 平水韻
灆	後起			no 廣韻 headword; in couyun 平水韻
灇	後起			no 廣韻 headword; in couyun 平水韻
灍	後起			no 廣韻 headword; in couyun 平水韻
灎	後起			no 廣韻 headword; in couyun 平水韻
灏	簡化	灝	覃上|豪上	Unihan kTraditionalVariant
灔	後起			no 廣韻 headword; in couyun 平水韻
灖	後起			no 廣韻 headword; in couyun 平水韻
灗	後起			no 廣韻 headword; in couyun 平水韻
灙	後起			no 廣韻 headword; in couyun 平水韻
灚	後起			no 廣韻 headword; in couyun 平水韻
灜	後起			no 廣韻 headword; in couyun 平水韻
灟	後起			no 廣韻 headword; in couyun 平水韻
灠	後起			no 廣韻 headword; in couyun 平水韻
灡	後起			no 廣韻 headword; in couyun 平水韻
灦	後起			no 廣韻 headword; in couyun 平水韻
灧	後起			no 廣韻 headword; in couyun 平水韻
灬	異體	火	歌上	Unihan+couyun
灭	簡化	滅	仙入	Unihan kTraditionalVariant
灯	異體	燈	登平	Unihan+couyun
灲	後起			no 廣韻 headword; in couyun 平水韻
灳	後起			no 廣韻 headword; in couyun 平水韻
灴	異體	烘	東去|東平	Unihan+couyun
灵	混同	靈	青平	Unihan kTraditionalVariant
灶	異體	竈	豪去	Unihan+couyun
灷	後起			no 廣韻 headword; in couyun 平水韻
灻	後起			no 廣韻 headword; in couyun 平水韻
灾	混同	災灾		Unihan kTraditionalVariant
灿	簡化	燦	寒去	Unihan kTraditionalVariant
炀	簡化	煬	陽去|陽平	Unihan kTraditionalVariant
炃	後起			no 廣韻 headword; in couyun 平水韻
炄	後起			no 廣韻 headword; in couyun 平水韻
炆	後起			no 廣韻 headword; in couyun 平水韻
炇	後起			no 廣韻 headword; in couyun 平水韻
炉	異體	爐	模平	Unihan+couyun
炋	後起			no 廣韻 headword; in couyun 平水韻
炌	後起			no 廣韻 headword; in couyun 平水韻
炍	後起			no 廣韻 headword; in couyun 平水韻
炏	後起			no 廣韻 headword; in couyun 平水韻
炐	後起			no 廣韻 headword; in couyun 平水韻
炑	後起			no 廣韻 headword; in couyun 平水韻
炖	後起			no 廣韻 headword; in couyun 平水韻
炗	後起			no 廣韻 headword; in couyun 平水韻
炚	後起			no 廣韻 headword; in couyun 平水韻
炛	後起			no 廣韻 headword; in couyun 平水韻
炜	簡化	煒	微上	Unihan kTraditionalVariant
炡	後起			no 廣韻 headword; in couyun 平水韻
炣	後起			no 廣韻 headword; in couyun 平水韻
炧	後起			no 廣韻 headword; in couyun 平水韻
炨	後起			no 廣韻 headword; in couyun 平水韻
炩	後起			no 廣韻 headword; in couyun 平水韻
炲	後起			no 廣韻 headword; in couyun 平水韻
炸	異體	煠	咸入|鹽入	Unihan+couyun
点	異體	點	添上	Unihan+couyun
炼	簡化	煉		Unihan kTraditionalVariant
炽	簡化	熾	之去	Unihan kTraditionalVariant
烁	簡化	爍	陽入	Unihan kTraditionalVariant
烂	簡化	爛	寒去	Unihan kTraditionalVariant
烃	簡化	烴	青上	Unihan kTraditionalVariant
烅	後起			no 廣韻 headword; in couyun 平水韻
烆	後起			no 廣韻 headword; in couyun 平水韻
烇	後起			no 廣韻 headword; in couyun 平水韻
烉	後起			no 廣韻 headword; in couyun 平水韻
烌	後起			no 廣韻 headword; in couyun 平水韻
烍	後起			no 廣韻 headword; in couyun 平水韻
烎	後起			no 廣韻 headword; in couyun 平水韻
烐	後起			no 廣韻 headword; in couyun 平水韻
烛	異體	燭	鍾入	Unihan+couyun
烞	後起			no 廣韻 headword; in couyun 平水韻
烟	混同	烟煙		Unihan kTraditionalVariant
烡	後起			no 廣韻 headword; in couyun 平水韻
烢	後起			no 廣韻 headword; in couyun 平水韻
烣	後起			no 廣韻 headword; in couyun 平水韻
烤	後起			no 廣韻 headword; in couyun 平水韻
烦	簡化	煩	元平	Unihan kTraditionalVariant
烧	簡化	燒	宵去|宵平	Unihan kTraditionalVariant
烨	簡化	燁	鹽入	Unihan kTraditionalVariant
烫	簡化	燙		Unihan kTraditionalVariant
烬	簡化	烬燼		Unihan kTraditionalVariant
热	簡化	热熱		Unihan kTraditionalVariant
烮	後起			no 廣韻 headword; in couyun 平水韻
烯	後起			no 廣韻 headword; in couyun 平水韻
烱	後起			no 廣韻 headword; in couyun 平水韻
烲	後起			no 廣韻 headword; in couyun 平水韻
烵	後起			no 廣韻 headword; in couyun 平水韻
烶	後起			no 廣韻 headword; in couyun 平水韻
烷	後起			no 廣韻 headword; in couyun 平水韻
烸	後起			no 廣韻 headword; in couyun 平水韻
烹	後起			no 廣韻 headword; in couyun 平水韻
烺	後起			no 廣韻 headword; in couyun 平水韻
烻	後起			no 廣韻 headword; in couyun 平水韻
烿	後起			no 廣韻 headword; in couyun 平水韻
焂	後起			no 廣韻 headword; in couyun 平水韻
焈	後起			no 廣韻 headword; in couyun 平水韻
焋	後起			no 廣韻 headword; in couyun 平水韻
焍	後起			no 廣韻 headword; in couyun 平水韻
焏	後起			no 廣韻 headword; in couyun 平水韻
焔	後起			no 廣韻 headword; in couyun 平水韻
焕	簡化	煥	寒去	Unihan kTraditionalVariant
焘	簡化	燾	豪去|豪平	Unihan kTraditionalVariant
焙	後起			no 廣韻 headword; in couyun 平水韻
焛	後起			no 廣韻 headword; in couyun 平水韻
焝	後起			no 廣韻 headword; in couyun 平水韻
焢	後起			no 廣韻 headword; in couyun 平水韻
焣	後起			no 廣韻 headword; in couyun 平水韻
焤	後起			no 廣韻 headword; in couyun 平水韻
焧	異體	熜	東上|東平	Unihan+couyun
焨	後起			no 廣韻 headword; in couyun 平水韻
焩	後起			no 廣韻 headword; in couyun 平水韻
焬	後起			no 廣韻 headword; in couyun 平水韻
焳	後起			no 廣韻 headword; in couyun 平水韻
焵	後起			no 廣韻 headword; in couyun 平水韻
焺	後起			no 廣韻 headword; in couyun 平水韻
焻	後起			no 廣韻 headword; in couyun 平水韻
焼	後起			no 廣韻 headword; in couyun 平水韻
煂	後起			no 廣韻 headword; in couyun 平水韻
煃	後起			no 廣韻 headword; in couyun 平水韻
煄	後起			no 廣韻 headword; in couyun 平水韻
煅	異體	鍛	寒去	Unihan+couyun
煈	後起			no 廣韻 headword; in couyun 平水韻
煉	後起			no 廣韻 headword; in couyun 平水韻
煊	後起			no 廣韻 headword; in couyun 平水韻
煋	後起			no 廣韻 headword; in couyun 平水韻
煍	後起			no 廣韻 headword; in couyun 平水韻
煏	後起			no 廣韻 headword; in couyun 平水韻
煐	後起			no 廣韻 headword; in couyun 平水韻
煕	後起			no 廣韻 headword; in couyun 平水韻
煘	後起			no 廣韻 headword; in couyun 平水韻
煛	後起			no 廣韻 headword; in couyun 平水韻
煡	後起			no 廣韻 headword; in couyun 平水韻
煫	後起			no 廣韻 headword; in couyun 平水韻
煭	後起			no 廣韻 headword; in couyun 平水韻
煮	異體	䰞	魚上	Unihan+couyun
煯	後起			no 廣韻 headword; in couyun 平水韻
煰	後起			no 廣韻 headword; in couyun 平水韻
煱	後起			no 廣韻 headword; in couyun 平水韻
煴	簡化	熅	文平	Unihan kTraditionalVariant
煺	後起			no 廣韻 headword; in couyun 平水韻
煿	後起			no 廣韻 headword; in couyun 平水韻
熀	後起			no 廣韻 headword; in couyun 平水韻
熃	後起			no 廣韻 headword; in couyun 平水韻
熈	異體	熙	之平	Unihan+couyun
熉	後起			no 廣韻 headword; in couyun 平水韻
熋	後起			no 廣韻 headword; in couyun 平水韻
熌	後起			no 廣韻 headword; in couyun 平水韻
熍	後起			no 廣韻 headword; in couyun 平水韻
熎	後起			no 廣韻 headword; in couyun 平水韻
熐	後起			no 廣韻 headword; in couyun 平水韻
熓	後起			no 廣韻 headword; in couyun 平水韻
熔	異體	鎔	鍾平	Unihan+couyun
熖	後起			no 廣韻 headword; in couyun 平水韻
熝	後起			no 廣韻 headword; in couyun 平水韻
熞	後起			no 廣韻 headword; in couyun 平水韻
熡	後起			no 廣韻 headword; in couyun 平水韻
熢	後起			no 廣韻 headword; in couyun 平水韻
熣	後起			no 廣韻 headword; in couyun 平水韻
熤	後起			no 廣韻 headword; in couyun 平水韻
熥	後起			no 廣韻 headword; in couyun 平水韻
熦	後起			no 廣韻 headword; in couyun 平水韻
熩	後起			no 廣韻 headword; in couyun 平水韻
熫	後起			no 廣韻 headword; in couyun 平水韻
熰	後起			no 廣韻 headword; in couyun 平水韻
熳	後起			no 廣韻 headword; in couyun 平水韻
熶	後起			no 廣韻 headword; in couyun 平水韻
熺	後起			no 廣韻 headword; in couyun 平水韻
熿	後起			no 廣韻 headword; in couyun 平水韻
燆	後起			no 廣韻 headword; in couyun 平水韻
燇	後起			no 廣韻 headword; in couyun 平水韻
燑	後起			no 廣韻 headword; in couyun 平水韻
燓	後起			no 廣韻 headword; in couyun 平水韻
燗	後起			no 廣韻 headword; in couyun 平水韻
燙	後起			no 廣韻 headword; in couyun 平水韻
燚	後起			no 廣韻 headword; in couyun 平水韻
燛	後起			no 廣韻 headword; in couyun 平水韻
燢	後起			no 廣韻 headword; in couyun 平水韻
燤	後起			no 廣韻 headword; in couyun 平水韻
燨	後起			no 廣韻 headword; in couyun 平水韻
燪	後起			no 廣韻 headword; in couyun 平水韻
燯	後起			no 廣韻 headword; in couyun 平水韻
燰	後起			no 廣韻 headword; in couyun 平水韻
燱	後起			no 廣韻 headword; in couyun 平水韻
燲	後起			no 廣韻 headword; in couyun 平水韻
燳	後起			no 廣韻 headword; in couyun 平水韻
燷	後起			no 廣韻 headword; in couyun 平水韻
燸	後起			no 廣韻 headword; in couyun 平水韻
爂	後起			no 廣韻 headword; in couyun 平水韻
爃	後起			no 廣韻 headword; in couyun 平水韻
爄	後起			no 廣韻 headword; in couyun 平水韻
爅	後起			no 廣韻 headword; in couyun 平水韻
爉	後起			no 廣韻 headword; in couyun 平水韻
爊	後起			no 廣韻 headword; in couyun 平水韻
爏	後起			no 廣韻 headword; in couyun 平水韻
爑	後起			no 廣韻 headword; in couyun 平水韻
爔	後起			no 廣韻 headword; in couyun 平水韻
爕	後起			no 廣韻 headword; in couyun 平水韻
爖	後起			no 廣韻 headword; in couyun 平水韻
爙	後起			no 廣韻 headword; in couyun 平水韻
爜	後起			no 廣韻 headword; in couyun 平水韻
爡	後起			no 廣韻 headword; in couyun 平水韻
爢	後起			no 廣韻 headword; in couyun 平水韻
爥	後起			no 廣韻 headword; in couyun 平水韻
爦	後起			no 廣韻 headword; in couyun 平水韻
爮	後起			no 廣韻 headword; in couyun 平水韻
爱	簡化	愛	咍去	Unihan kTraditionalVariant
爴	後起			no 廣韻 headword; in couyun 平水韻
爷	簡化	爺		Unihan kTraditionalVariant
爺	後起			no 廣韻 headword; in couyun 平水韻
爼	後起			no 廣韻 headword; in couyun 平水韻
爿	後起			no 廣韻 headword; in couyun 平水韻
牅	後起			no 廣韻 headword; in couyun 平水韻
牊	後起			no 廣韻 headword; in couyun 平水韻
牍	簡化	牘	東入	Unihan kTraditionalVariant
牎	後起			no 廣韻 headword; in couyun 平水韻
牔	後起			no 廣韻 headword; in couyun 平水韻
牞	後起			no 廣韻 headword; in couyun 平水韻
牠	異體	他	歌平	Unihan+couyun
牦	簡化	氂	之平|豪平	Unihan kTraditionalVariant
牪	後起			no 廣韻 headword; in couyun 平水韻
牫	後起			no 廣韻 headword; in couyun 平水韻
牮	後起			no 廣韻 headword; in couyun 平水韻
牱	後起			no 廣韻 headword; in couyun 平水韻
牳	後起			no 廣韻 headword; in couyun 平水韻
牵	簡化	牽	先去|先平	Unihan kTraditionalVariant
牶	後起			no 廣韻 headword; in couyun 平水韻
牺	簡化	犧	支平	Unihan kTraditionalVariant
牾	後起			no 廣韻 headword; in couyun 平水韻
犊	簡化	犢	東入	Unihan kTraditionalVariant
犏	後起			no 廣韻 headword; in couyun 平水韻
犜	後起			no 廣韻 headword; in couyun 平水韻
犟	後起			no 廣韻 headword; in couyun 平水韻
犠	後起			no 廣韻 headword; in couyun 平水韻
犱	後起			no 廣韻 headword; in couyun 平水韻
犲	異體	豺	皆平	Unihan+couyun
犵	後起			no 廣韻 headword; in couyun 平水韻
状	簡化	狀	陽去	Unihan kTraditionalVariant
犷	簡化	獷	庚上|陽上	Unihan kTraditionalVariant
犸	簡化	獁		Unihan kTraditionalVariant
犹	異體	猶	尤去|尤平	Unihan+couyun
犻	後起			no 廣韻 headword; in couyun 平水韻
犼	後起			no 廣韻 headword; in couyun 平水韻
犾	後起			no 廣韻 headword; in couyun 平水韻
狈	簡化	狽	泰去	Unihan kTraditionalVariant
狉	後起			no 廣韻 headword; in couyun 平水韻
狏	後起			no 廣韻 headword; in couyun 平水韻
狛	後起			no 廣韻 headword; in couyun 平水韻
狝	簡化	獮	仙上	Unihan kTraditionalVariant
狞	簡化	獰	庚平	Unihan kTraditionalVariant
狠	後起			no 廣韻 headword; in couyun 平水韻
狥	異體	侚	眞去	Unihan+couyun
狪	後起			no 廣韻 headword; in couyun 平水韻
狫	後起			no 廣韻 headword; in couyun 平水韻
独	異體	獨	東入	Unihan+couyun
狭	簡化	狹	咸入	Unihan kTraditionalVariant
狮	簡化	獅	脂平	Unihan kTraditionalVariant
狯	簡化	狯獪		Unihan kTraditionalVariant
狰	簡化	猙	清上|耕平	Unihan kTraditionalVariant
狱	簡化	獄	鍾入	Unihan kTraditionalVariant
狲	簡化	猻	魂平	Unihan kTraditionalVariant
狶	後起			no 廣韻 headword; in couyun 平水韻
猂	後起			no 廣韻 headword; in couyun 平水韻
猃	簡化	獫	鹽上|鹽去|鹽平	Unihan kTraditionalVariant
猄	後起			no 廣韻 headword; in couyun 平水韻
猅	後起			no 廣韻 headword; in couyun 平水韻
猉	後起			no 廣韻 headword; in couyun 平水韻
猎	混同	獵	鹽入	Unihan kTraditionalVariant
猔	後起			no 廣韻 headword; in couyun 平水韻
猕	簡化	猕獼		Unihan kTraditionalVariant
猡	簡化	玀		Unihan kTraditionalVariant
猧	後起			no 廣韻 headword; in couyun 平水韻
猪	混同	猪豬		Unihan kTraditionalVariant
猫	混同	猫貓		Unihan kTraditionalVariant
猬	異體	蝟	微去	Unihan+couyun
献	異體	獻	元去|歌平	Unihan+couyun
猯	後起			no 廣韻 headword; in couyun 平水韻
猸	後起			no 廣韻 headword; in couyun 平水韻
獁	後起			no 廣韻 headword; in couyun 平水韻
獈	後起			no 廣韻 headword; in couyun 平水韻
獋	後起			no 廣韻 headword; in couyun 平水韻
獏	後起			no 廣韻 headword; in couyun 平水韻
獓	後起			no 廣韻 headword; in couyun 平水韻
獔	後起			no 廣韻 headword; in couyun 平水韻
獗	後起			no 廣韻 headword; in couyun 平水韻
獘	後起			no 廣韻 headword; in couyun 平水韻
獙	後起			no 廣韻 headword; in couyun 平水韻
獞	後起			no 廣韻 headword; in couyun 平水韻
獭	簡化	獺	刪入|寒入	Unihan kTraditionalVariant
獴	後起			no 廣韻 headword; in couyun 平水韻
玀	後起			no 廣韻 headword; in couyun 平水韻
玌	後起			no 廣韻 headword; in couyun 平水韻
玑	簡化	璣	微平	Unihan kTraditionalVariant
玔	後起			no 廣韻 headword; in couyun 平水韻
玙	簡化	璵	魚平	Unihan kTraditionalVariant
玚	簡化	瑒	庚上|陽平	Unihan kTraditionalVariant
玛	簡化	瑪		Unihan kTraditionalVariant
玜	後起			no 廣韻 headword; in couyun 平水韻
玝	後起			no 廣韻 headword; in couyun 平水韻
玡	後起			no 廣韻 headword; in couyun 平水韻
玣	後起			no 廣韻 headword; in couyun 平水韻
玨	後起			no 廣韻 headword; in couyun 平水韻
玫	後起			no 廣韻 headword; in couyun 平水韻
玬	後起			no 廣韻 headword; in couyun 平水韻
玮	簡化	瑋	微上	Unihan kTraditionalVariant
环	簡化	环環		Unihan kTraditionalVariant
现	簡化	現	先去	Unihan kTraditionalVariant
玱	簡化	瑲	陽平	Unihan kTraditionalVariant
玳	異體	瑇	冬入|咍去	Unihan+couyun
玴	後起			no 廣韻 headword; in couyun 平水韻
玵	後起			no 廣韻 headword; in couyun 平水韻
玶	後起			no 廣韻 headword; in couyun 平水韻
玺	簡化	璽	支上	Unihan kTraditionalVariant
珁	後起			no 廣韻 headword; in couyun 平水韻
珃	後起			no 廣韻 headword; in couyun 平水韻
珅	後起			no 廣韻 headword; in couyun 平水韻
珎	異體	珍	眞平	Unihan+couyun
珑	簡化	瓏	東平	Unihan kTraditionalVariant
珒	後起			no 廣韻 headword; in couyun 平水韻
珔	後起			no 廣韻 headword; in couyun 平水韻
珖	後起			no 廣韻 headword; in couyun 平水韻
珗	後起			no 廣韻 headword; in couyun 平水韻
珘	後起			no 廣韻 headword; in couyun 平水韻
珚	後起			no 廣韻 headword; in couyun 平水韻
珜	後起			no 廣韻 headword; in couyun 平水韻
珟	後起			no 廣韻 headword; in couyun 平水韻
珡	後起			no 廣韻 headword; in couyun 平水韻
珰	簡化	璫	唐平	Unihan kTraditionalVariant
珲	簡化	琿	魂平	Unihan kTraditionalVariant
珳	後起			no 廣韻 headword; in couyun 平水韻
珴	後起			no 廣韻 headword; in couyun 平水韻
珶	後起			no 廣韻 headword; in couyun 平水韻
珺	後起			no 廣韻 headword; in couyun 平水韻
珻	後起			no 廣韻 headword; in couyun 平水韻
珼	後起			no 廣韻 headword; in couyun 平水韻
琉	異體	瑠	尤平	Unihan+couyun
琊	後起			no 廣韻 headword; in couyun 平水韻
琋	後起			no 廣韻 headword; in couyun 平水韻
琌	後起			no 廣韻 headword; in couyun 平水韻
琍	後起			no 廣韻 headword; in couyun 平水韻
琎	簡化	璡	眞去|眞平	Unihan kTraditionalVariant
琏	簡化	璉	仙上	Unihan kTraditionalVariant
琐	簡化	瑣	歌上	Unihan kTraditionalVariant
琔	後起			no 廣韻 headword; in couyun 平水韻
琗	後起			no 廣韻 headword; in couyun 平水韻
琘	後起			no 廣韻 headword; in couyun 平水韻
琜	後起			no 廣韻 headword; in couyun 平水韻
琝	後起			no 廣韻 headword; in couyun 平水韻
琞	後起			no 廣韻 headword; in couyun 平水韻
琣	後起			no 廣韻 headword; in couyun 平水韻
琧	後起			no 廣韻 headword; in couyun 平水韻
琷	後起			no 廣韻 headword; in couyun 平水韻
琸	後起			no 廣韻 headword; in couyun 平水韻
琹	後起			no 廣韻 headword; in couyun 平水韻
琼	簡化	琼瓊		Unihan kTraditionalVariant
琽	後起			no 廣韻 headword; in couyun 平水韻
琾	後起			no 廣韻 headword; in couyun 平水韻
瑆	後起			no 廣韻 headword; in couyun 平水韻
瑉	後起			no 廣韻 headword; in couyun 平水韻
瑍	後起			no 廣韻 headword; in couyun 平水韻
瑏	後起			no 廣韻 headword; in couyun 平水韻
瑐	後起			no 廣韻 headword; in couyun 平水韻
瑓	後起			no 廣韻 headword; in couyun 平水韻
瑔	後起			no 廣韻 headword; in couyun 平水韻
瑙	異體	碯	豪上	Unihan+couyun
瑡	後起			no 廣韻 headword; in couyun 平水韻
瑥	後起			no 廣韻 headword; in couyun 平水韻
瑧	後起			no 廣韻 headword; in couyun 平水韻
瑪	後起			no 廣韻 headword; in couyun 平水韻
瑶	簡化	瑤	宵平	Unihan kTraditionalVariant
瑷	簡化	璦	咍去	Unihan kTraditionalVariant
瑸	簡化	璸		Unihan kTraditionalVariant
瑺	後起			no 廣韻 headword; in couyun 平水韻
瑼	後起			no 廣韻 headword; in couyun 平水韻
瑿	後起			no 廣韻 headword; in couyun 平水韻
璈	後起			no 廣韻 headword; in couyun 平水韻
璌	後起			no 廣韻 headword; in couyun 平水韻
璎	簡化	瓔	清平	Unihan kTraditionalVariant
璓	後起			no 廣韻 headword; in couyun 平水韻
璔	後起			no 廣韻 headword; in couyun 平水韻
璕	後起			no 廣韻 headword; in couyun 平水韻
璝	後起			no 廣韻 headword; in couyun 平水韻
璢	後起			no 廣韻 headword; in couyun 平水韻
璮	後起			no 廣韻 headword; in couyun 平水韻
璳	後起			no 廣韻 headword; in couyun 平水韻
璸	後起			no 廣韻 headword; in couyun 平水韻
璻	後起			no 廣韻 headword; in couyun 平水韻
璼	後起			no 廣韻 headword; in couyun 平水韻
璾	後起			no 廣韻 headword; in couyun 平水韻
瓀	後起			no 廣韻 headword; in couyun 平水韻
瓂	後起			no 廣韻 headword; in couyun 平水韻
瓆	後起			no 廣韻 headword; in couyun 平水韻
瓇	後起			no 廣韻 headword; in couyun 平水韻
瓉	後起			no 廣韻 headword; in couyun 平水韻
瓋	後起			no 廣韻 headword; in couyun 平水韻
瓍	後起			no 廣韻 headword; in couyun 平水韻
瓎	後起			no 廣韻 headword; in couyun 平水韻
瓒	簡化	瓚	寒上	Unihan kTraditionalVariant
瓓	後起			no 廣韻 headword; in couyun 平水韻
瓙	後起			no 廣韻 headword; in couyun 平水韻
瓥	後起			no 廣韻 headword; in couyun 平水韻
瓫	後起			no 廣韻 headword; in couyun 平水韻
瓯	簡化	甌	侯平	Unihan kTraditionalVariant
瓾	後起			no 廣韻 headword; in couyun 平水韻
甁	後起			no 廣韻 headword; in couyun 平水韻
甆	異體	瓷	脂平	Unihan+couyun
甇	後起			no 廣韻 headword; in couyun 平水韻
甛	後起			no 廣韻 headword; in couyun 平水韻
甠	後起			no 廣韻 headword; in couyun 平水韻
産	後起			no 廣韻 headword; in couyun 平水韻
甦	異體	穌	模平	Unihan+couyun
甧	後起			no 廣韻 headword; in couyun 平水韻
甪	後起			no 廣韻 headword; in couyun 平水韻
甴	後起			no 廣韻 headword; in couyun 平水韻
电	簡化	电電		Unihan kTraditionalVariant
画	異體	畫	佳去|耕入	Unihan+couyun
甼	後起			no 廣韻 headword; in couyun 平水韻
甽	異體	畎	先上	Unihan+couyun
畁	後起			no 廣韻 headword; in couyun 平水韻
畃	後起			no 廣韻 headword; in couyun 平水韻
畄	異體	留	尤去|尤平	Unihan+couyun
畅	簡化	暢	陽去	Unihan kTraditionalVariant
畆	異體	畝	侯上	Unihan+couyun
畉	後起			no 廣韻 headword; in couyun 平水韻
畊	異體	耕	耕平	Unihan+couyun
畍	後起			no 廣韻 headword; in couyun 平水韻
畒	後起			no 廣韻 headword; in couyun 平水韻
畗	後起			no 廣韻 headword; in couyun 平水韻
畘	後起			no 廣韻 headword; in couyun 平水韻
畡	後起			no 廣韻 headword; in couyun 平水韻
畧	異體	略	陽入	Unihan+couyun
畭	後起			no 廣韻 headword; in couyun 平水韻
畱	異體	留	尤去|尤平	Unihan+couyun
畲	後起			no 廣韻 headword; in couyun 平水韻
畳	後起			no 廣韻 headword; in couyun 平水韻
畴	簡化	疇	尤平	Unihan kTraditionalVariant
畵	異體	畫	佳去|耕入	Unihan+couyun
畻	後起			no 廣韻 headword; in couyun 平水韻
疅	後起			no 廣韻 headword; in couyun 平水韻
疉	後起			no 廣韻 headword; in couyun 平水韻
疔	後起			no 廣韻 headword; in couyun 平水韻
疖	簡化	癤	先入	Unihan kTraditionalVariant
疗	簡化	療	宵去	Unihan kTraditionalVariant
疜	後起			no 廣韻 headword; in couyun 平水韻
疞	後起			no 廣韻 headword; in couyun 平水韻
疟	簡化	瘧	陽入	Unihan kTraditionalVariant
疠	簡化	癘	祭去	Unihan kTraditionalVariant
疡	簡化	瘍	陽平	Unihan kTraditionalVariant
疤	後起			no 廣韻 headword; in couyun 平水韻
疩	後起			no 廣韻 headword; in couyun 平水韻
疪	後起			no 廣韻 headword; in couyun 平水韻
疬	簡化	癧	青入	Unihan kTraditionalVariant
疭	簡化	瘲	鍾去	Unihan kTraditionalVariant
疮	簡化	瘡	陽平	Unihan kTraditionalVariant
疯	簡化	瘋		Unihan kTraditionalVariant
疱	異體	皰	肴去	Unihan+couyun
疳	後起			no 廣韻 headword; in couyun 平水韻
疴	混同	疴痾		Unihan kTraditionalVariant
疺	後起			no 廣韻 headword; in couyun 平水韻
症	簡化	症癥		Unihan kTraditionalVariant
痈	簡化	癰	鍾平	Unihan kTraditionalVariant
痉	簡化	痙	清上	Unihan kTraditionalVariant
痐	異體	蚘	灰平	Unihan+couyun
痒	混同	痒癢		Unihan kTraditionalVariant
痖	簡化	瘂	麻上	Unihan kTraditionalVariant
痘	後起			no 廣韻 headword; in couyun 平水韻
痚	後起			no 廣韻 headword; in couyun 平水韻
痜	後起			no 廣韻 headword; in couyun 平水韻
痦	後起			no 廣韻 headword; in couyun 平水韻
痧	後起			no 廣韻 headword; in couyun 平水韻
痨	簡化	癆	豪去	Unihan kTraditionalVariant
痩	後起			no 廣韻 headword; in couyun 平水韻
痪	簡化	瘓	寒上	Unihan kTraditionalVariant
痫	簡化	癇	山平	Unihan kTraditionalVariant
痭	後起			no 廣韻 headword; in couyun 平水韻
